# ltrace -x '*' -o ltrace.txt -f -S -s 1024 ./squashfs-root/usr/bin/magick identify -define video:pixel-format='canary123' example.mov
4064738 SYS_mmap(0x78e67ee59000, 0x5000, 3, 2066)                                                                     = 0x78e67ee59000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2ab0, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_pread(3, 0x7ffda43b2890, 448, 0x26000)                                                                    = 448
4064738 SYS_fstat(3, 0x7ffda43b2b80)                                                                                  = 0
4064738 SYS_pread(3, 0x7ffda43b2920, 448, 0x26000)                                                                    = 448
4064738 SYS_mmap(0, 0x426e80, 0, 2082)                                                                                = 0x78e678a00000
4064738 SYS_mmap(0x78e678a00000, 0x226e80, 5, 2066)                                                                   = 0x78e678a00000
4064738 SYS_munmap(0x78e678c27000, 2096768)                                                                           = 0
4064738 SYS_mprotect(0x78e678a24000, 2105344, 0)                                                                      = 0
4064738 SYS_mmap(0x78e678c24000, 8192, 3, 2066)                                                                       = 0x78e678c24000
4064738 SYS_mmap(0x78e678c26000, 4096, 3, 2066)                                                                       = 0x78e678c26000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2a90, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_pread(3, 0x7ffda43b2870, 448, 0x11000)                                                                    = 448
4064738 SYS_fstat(3, 0x7ffda43b2b60)                                                                                  = 0
4064738 SYS_pread(3, 0x7ffda43b2900, 448, 0x11000)                                                                    = 448
4064738 SYS_mmap(0, 0x410740, 0, 2082)                                                                                = 0x78e678400000
4064738 SYS_mmap(0x78e678400000, 0x210740, 5, 2066)                                                                   = 0x78e678400000
4064738 SYS_munmap(0x78e678611000, 2094912)                                                                           = 0
4064738 SYS_mprotect(0x78e67840f000, 2101248, 0)                                                                      = 0
4064738 SYS_mmap(0x78e67860e000, 8192, 3, 2066)                                                                       = 0x78e67860e000
4064738 SYS_mmap(0x78e678610000, 4096, 3, 2066)                                                                       = 0x78e678610000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2a70, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_pread(3, 0x7ffda43b2850, 448, 0x2c3000)                                                                   = 448
4064738 SYS_fstat(3, 0x7ffda43b2b40)                                                                                  = 0
4064738 SYS_pread(3, 0x7ffda43b28e0, 448, 0x2c3000)                                                                   = 448
4064738 SYS_mmap(0, 0x6e3f70, 0, 2082)                                                                                = 0x78e677c00000
4064738 SYS_mmap(0x78e677c00000, 0x4e3f70, 5, 2066)                                                                   = 0x78e677c00000
4064738 SYS_munmap(0x78e6780e4000, 2097008)                                                                           = 0
4064738 SYS_mprotect(0x78e677dc0000, 3162112, 0)                                                                      = 0
4064738 SYS_mmap(0x78e677fbf000, 0x104000, 3, 2066)                                                                   = 0x78e677fbf000
4064738 SYS_mmap(0x78e6780c3000, 1032, 3, 50)                                                                         = 0x78e6780c3000
4064738 SYS_mmap(0x78e6780c4000, 0x20000, 3, 2066)                                                                    = 0x78e6780c4000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2a50, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_pread(3, 0x7ffda43b2830, 448, 0x1c0000)                                                                   = 448
4064738 SYS_fstat(3, 0x7ffda43b2b20)                                                                                  = 0
4064738 SYS_mmap(0, 8192, 3, 34)                                                                                      = 0x78e67ed1f000
4064738 SYS_pread(3, 0x7ffda43b28c0, 448, 0x1c0000)                                                                   = 448
4064738 SYS_mmap(0, 0x5ca638, 0, 2082)                                                                                = 0x78e677600000
4064738 SYS_mmap(0x78e677600000, 0x3ca638, 5, 2066)                                                                   = 0x78e677600000
4064738 SYS_munmap(0x78e6779cb000, 2094648)                                                                           = 0
4064738 SYS_mprotect(0x78e6777b6000, 2142208, 0)                                                                      = 0
4064738 SYS_mmap(0x78e6779b6000, 0xa000, 3, 2066)                                                                     = 0x78e6779b6000
4064738 SYS_mmap(0x78e6779c0000, 2488, 3, 50)                                                                         = 0x78e6779c0000
4064738 SYS_mmap(0x78e6779c1000, 0xa000, 3, 2066)                                                                     = 0x78e6779c1000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2a30, 0x80000, 0)                                                            = -2
4064738 SYS_openat(0xffffff9c, 0x78e67ed1f530, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_fstat(3, 0x7ffda43b2b00)                                                                                  = 0
4064738 SYS_mmap(0, 0x1b098, 1, 2050)                                                                                 = 0x78e67ed03000
4064738 SYS_mmap(0x78e67ed05000, 0x12000, 5, 2066)                                                                    = 0x78e67ed05000
4064738 SYS_mmap(0x78e67ed17000, 0x6000, 1, 2066)                                                                     = 0x78e67ed17000
4064738 SYS_mmap(0x78e67ed1d000, 8192, 3, 2066)                                                                       = 0x78e67ed1d000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2a10, 0x80000, 0)                                                            = -2
4064738 SYS_openat(0xffffff9c, 0x78e67ed1fa60, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001\003", 832)                                                                   = 832
4064738 SYS_fstat(3, 0x7ffda43b2ae0)                                                                                  = 0
4064738 SYS_mmap(0, 0xe8018, 1, 2050)                                                                                 = 0x78e67ec1a000
4064738 SYS_mmap(0x78e67ec2a000, 0x7f000, 5, 2066)                                                                    = 0x78e67ec2a000
4064738 SYS_mmap(0x78e67eca9000, 0x58000, 1, 2066)                                                                    = 0x78e67eca9000
4064738 SYS_mmap(0x78e67ed01000, 8192, 3, 2066)                                                                       = 0x78e67ed01000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b29f0, 0x80000, 0)                                                            = -2
4064738 SYS_openat(0xffffff9c, 0x78e67ed1ff90, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_fstat(3, 0x7ffda43b2ac0)                                                                                  = 0
4064738 SYS_mmap(0, 0x4010, 1, 2050)                                                                                  = 0x78e67ec15000
4064738 SYS_mmap(0x78e67ec16000, 4096, 5, 2066)                                                                       = 0x78e67ec16000
4064738 SYS_mmap(0x78e67ec17000, 4096, 1, 2066)                                                                       = 0x78e67ec17000
4064738 SYS_mmap(0x78e67ec18000, 8192, 3, 2066)                                                                       = 0x78e67ec18000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b29d0, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_pread(3, 0x7ffda43b2780, 504, 0x2f000)                                                                    = 504
4064738 SYS_fstat(3, 0x7ffda43b2aa0)                                                                                  = 0
4064738 SYS_pread(3, 0x7ffda43b2810, 504, 0x2f000)                                                                    = 504
4064738 SYS_mmap(0, 0x4313d8, 0, 2082)                                                                                = 0x78e677000000
4064738 SYS_mmap(0x78e677000000, 0x2313d8, 5, 2066)                                                                   = 0x78e677000000
4064738 SYS_munmap(0x78e677232000, 2094040)                                                                           = 0
4064738 SYS_mprotect(0x78e67702e000, 2101248, 0)                                                                      = 0
4064738 SYS_mmap(0x78e67722d000, 8192, 3, 2066)                                                                       = 0x78e67722d000
4064738 SYS_mmap(0x78e67722f000, 0x3000, 3, 2066)                                                                     = 0x78e67722f000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b29b0, 0x80000, 0)                                                            = -2
4064738 SYS_openat(0xffffff9c, 0x78e67ed20a50, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_fstat(3, 0x7ffda43b2a80)                                                                                  = 0
